,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
8,4_0,objective,95.226595806077,1.0,4,10000,95.226595806077,5,"GP, online only"
9,5_0,objective,94.73469148407717,1.0,5,10000,94.73469148407717,5,"GP, online only"
10,6_0,objective,102.01341067086575,1.0,6,10000,102.01341067086575,5,"GP, online only"
11,7_0,objective,95.5116098528238,1.0,7,10000,95.5116098528238,5,"GP, online only"
12,8_0,objective,99.06942242736505,1.0,8,10000,99.06942242736505,5,"GP, online only"
13,9_0,objective,97.38529985967139,1.0,9,10000,97.38529985967139,5,"GP, online only"
14,10_0,objective,101.27801171786399,1.0,10,10000,101.27801171786399,5,"GP, online only"
15,11_0,objective,89.11791614738377,1.0,11,10000,89.11791614738377,5,"GP, online only"
16,12_0,objective,107.49325008691764,1.0,12,10000,107.49325008691764,5,"GP, online only"
17,13_0,objective,109.35737330826976,1.0,13,10000,109.35737330826976,5,"GP, online only"
18,14_0,objective,108.56387375259813,1.0,14,10000,108.56387375259813,5,"GP, online only"
19,15_0,objective,102.00910365301232,1.0,15,10000,102.00910365301232,5,"GP, online only"
20,16_0,objective,105.59988716275407,1.0,16,10000,105.59988716275407,5,"GP, online only"
21,17_0,objective,107.81611034743959,1.0,17,10000,107.81611034743959,5,"GP, online only"
22,18_0,objective,108.23591862643033,1.0,18,10000,108.23591862643033,5,"GP, online only"
23,19_0,objective,98.80411895331942,1.0,19,10000,98.80411895331942,5,"GP, online only"
24,20_0,objective,103.95602489747056,1.0,20,10000,103.95602489747056,5,"GP, online only"
0,0_0,objective,100.99605801889211,1.0,0,2000,100.99605801889211,6,"GP, online only"
1,0_1,objective,35.18164839543015,1.0,0,2000,35.18164839543015,6,"GP, online only"
2,0_2,objective,88.23512353790187,1.0,0,2000,88.23512353790187,6,"GP, online only"
3,0_3,objective,67.87228647727365,1.0,0,2000,67.87228647727365,6,"GP, online only"
4,0_4,objective,42.78769947565561,1.0,0,2000,42.78769947565561,6,"GP, online only"
5,1_0,objective,106.59991395175498,1.0,1,10000,106.59991395175498,6,"GP, online only"
6,2_0,objective,97.52282348923218,1.0,2,10000,97.52282348923218,6,"GP, online only"
7,3_0,objective,99.98366864169664,1.0,3,10000,99.98366864169664,6,"GP, online only"
8,4_0,objective,103.1485433058216,1.0,4,10000,103.1485433058216,6,"GP, online only"
9,5_0,objective,105.48693665371695,1.0,5,10000,105.48693665371695,6,"GP, online only"
10,6_0,objective,104.13333616854989,1.0,6,10000,104.13333616854989,6,"GP, online only"
11,7_0,objective,101.06111620866015,1.0,7,10000,101.06111620866015,6,"GP, online only"
